Nc,Ng,Diameter Score,Ratio Score,Chunter Circular Correlation,PCA Circular Correlation,Velocycle Circular Correlation
3000,300,0.0030100544068435505,0.01658699284472087,0.9111109684335359,0.5115787104736005,0.5313197844369729
3000,300,0.04376798566407106,0.5111357591377624,0.9339075681272123,0.9456419870480447,0.9267598430515399
3000,300,0.00489983615132056,0.017392259629476436,0.9208848762675732,0.646357048481714,0.849243110147274
3000,300,0.0026315804328436027,0.13865398350487135,0.927335573271906,0.6012764472824524,0.9325047430846013
3000,300,0.00122045135651353,0.06557624886563873,0.9255419852822531,0.5102250909909238,0.37139001098287217
3000,300,0.0006115149048412273,0.053973862671829465,0.9224177083165621,0.3831376183800632,0.4934045695633971
3000,300,0.001265035493608922,0.07164200903370965,0.9122917222229189,0.7687414961629976,0.7167616215677614
3000,300,0.004022988751202474,0.11520644400870039,0.929371533748104,0.4785304252020579,0.4855397621005219
3000,300,0.006027154815369682,0.02886371758365669,0.949075753249247,0.627036304283002,0.5099164868476951
3000,300,0.0035473217762027024,0.08871405931228071,0.9279118549041895,0.39323947021602185,0.5312196643234138
3000,300,0.05168215943041396,0.6117028365705639,0.9400745002584275,0.9494903134684572,0.9292411771983045
3000,300,0.0007178413577386318,0.09513493182111421,0.9374092372899218,0.4422711531169952,0.4647236067426473
3000,300,0.0010964600495338465,0.055078267931386926,0.9143372910734467,0.4578353976834323,0.5164716137042641
3000,300,0.0030646511246439946,0.07504957178795235,0.9344860941655271,0.7340677996822602,0.6585862022812903
3000,300,0.03970789130586262,0.46341329551198385,0.9372076998785168,0.9474530339833835,0.9356079307098928
3000,300,0.0021455240235948555,0.048298937332098335,0.921681489024937,0.4500648848520381,0.4415907675834278
3000,300,0.003887014902893763,0.08584674762325506,0.9330140618409335,0.40684635945031794,0.4061769253194026
3000,300,0.003526351145531132,0.052120035563361644,0.9112369100780224,0.4355931628926911,0.42617364212595416
3000,300,0.0017383763413009875,0.108457723752031,0.9466050053680765,0.5555985272349016,0.37305169710526365
3000,300,0.0068794084897259525,0.2015365146206879,0.931187335579056,0.46294541008096474,0.48984213627985507
